DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,7.0,0,0,0,7.0,0.0,2.0,5,Austrian Grand Prix
alonso,16.0,5,0,5,11.0,0.0,6.0,5,Austrian Grand Prix
antonelli,17.0,0,0,0,17.0,15.0,2.0,0,Austrian Grand Prix
arvid_lindblad,1.0,0,0,0,1.0,1.0,0.0,0,Austrian Grand Prix
bearman,10.0,5,0,5,5.0,0.0,0.0,5,Austrian Grand Prix
bortoleto,12.0,5,0,5,7.0,0.0,2.0,5,Austrian Grand Prix
bottas,0.0,0,0,0,0.0,0.0,0.0,0,Austrian Grand Prix
colapinto,2.0,0,0,0,2.0,0.0,2.0,0,Austrian Grand Prix
gasly,10.0,5,0,5,5.0,0.0,0.0,5,Austrian Grand Prix
hadjar,12.0,0,0,0,12.0,8.0,4.0,0,Austrian Grand Prix
hamilton,15.0,0,0,0,15.0,10.0,0.0,5,Austrian Grand Prix
hulkenberg,4.0,0,0,0,4.0,0.0,4.0,0,Austrian Grand Prix
lawson,12.0,5,0,5,7.0,2.0,0.0,5,Austrian Grand Prix
leclerc,9.0,5,0,5,4.0,4.0,0.0,0,Austrian Grand Prix
max_verstappen,34.0,5,0,5,29.0,18.0,6.0,5,Austrian Grand Prix
norris,11.0,5,0,5,6.0,6.0,0.0,0,Austrian Grand Prix
ocon,0.0,0,0,0,0.0,0.0,0.0,0,Austrian Grand Prix
perez,10.0,5,0,5,5.0,0.0,0.0,5,Austrian Grand Prix
piastri,23.0,0,0,0,23.0,12.0,6.0,5,Austrian Grand Prix
russell,45.0,15,10,5,30.0,25.0,0.0,5,Austrian Grand Prix
sainz,5.0,5,0,5,0.0,0.0,0.0,0,Austrian Grand Prix
stroll,6.0,0,0,0,6.0,0.0,6.0,0,Austrian Grand Prix
