EntityType,Name,NameKey,Price,ScrapedAtUtc
constructor,Red Bull,red_bull,20.5,2026-09-07T14:49:51.372988+00:00
constructor,Mercedes,mercedes,23.0,2026-09-07T14:49:51.372988+00:00
constructor,Ferrari,ferrari,20.5,2026-09-07T14:49:51.372988+00:00
constructor,Alpine,alpine,12.5,2026-09-07T14:49:51.372988+00:00
constructor,McLaren,mclaren,22.0,2026-09-07T14:49:51.372988+00:00
constructor,Aston Martin,aston_martin,5.5,2026-09-07T14:49:51.372988+00:00
constructor,Audi,audi,6.0,2026-09-07T14:49:51.372988+00:00
constructor,Racing Bulls,racing_bulls,12.0,2026-09-07T14:49:51.372988+00:00
constructor,Williams,williams,6.5,2026-09-07T14:49:51.372988+00:00
constructor,Haas,haas,6.0,2026-09-07T14:49:51.372988+00:00
constructor,Cadillac,cadillac,5.0,2026-09-07T14:49:51.372988+00:00
