EntityType,Name,NameKey,Price,ScrapedAtUtc
driver,Verstappen,verstappen,20.5,2026-07-06T10:36:54.457595+00:00
driver,Hadjar,hadjar,14.0,2026-07-06T10:36:54.457595+00:00
driver,Russell,russell,21.5,2026-07-06T10:36:54.457595+00:00
driver,Antonelli,antonelli,21.5,2026-07-06T10:36:54.457595+00:00
driver,Leclerc,leclerc,17.0,2026-07-06T10:36:54.457595+00:00
driver,Hamilton,hamilton,20.5,2026-07-06T10:36:54.457595+00:00
driver,Gasly,gasly,11.0,2026-07-06T10:36:54.457595+00:00
driver,Colapinto,colapinto,7.5,2026-07-06T10:36:54.457595+00:00
driver,Norris,norris,19.5,2026-07-06T10:36:54.457595+00:00
driver,Piastri,piastri,20.5,2026-07-06T10:36:54.457595+00:00
driver,Alonso,alonso,10.0,2026-07-06T10:36:54.457595+00:00
driver,Stroll,stroll,4.0,2026-07-06T10:36:54.457595+00:00
driver,Hulkenberg,hulkenberg,6.5,2026-07-06T10:36:54.457595+00:00
driver,Bortoleto,bortoleto,7.0,2026-07-06T10:36:54.457595+00:00
driver,Lawson,lawson,10.0,2026-07-06T10:36:54.457595+00:00
driver,Lindblad,lindblad,4.5,2026-07-06T10:36:54.457595+00:00
driver,Sainz,sainz,10.0,2026-07-06T10:36:54.457595+00:00
driver,Albon,albon,7.0,2026-07-06T10:36:54.457595+00:00
driver,Bearman,bearman,9.0,2026-07-06T10:36:54.457595+00:00
driver,Ocon,ocon,7.5,2026-07-06T10:36:54.457595+00:00
driver,Perez,perez,10.0,2026-07-06T10:36:54.457595+00:00
driver,Bottas,bottas,5.5,2026-07-06T10:36:54.457595+00:00
