DriverId,TotalDriverPoints,TotalSprintRacePoints,SprintPoints,PlacesGainedSprintPoints,TeammateSprintPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,11.0,0.0,0.0,0.0,0,0,0,0,11.0,1.0,10.0,0,Miami Grand Prix
alonso,24.0,10.0,0.0,5.0,5,5,0,5,9.0,0.0,4.0,5,Miami Grand Prix
antonelli,48.0,3.0,3.0,0.0,0,15,10,5,30.0,25.0,0.0,5,Miami Grand Prix
arvid_lindblad,10.0,1.0,0.0,1.0,0,0,0,0,9.0,0.0,4.0,5,Miami Grand Prix
bearman,13.0,1.0,0.0,1.0,0,5,0,5,7.0,0.0,2.0,5,Miami Grand Prix
bortoleto,23.0,0.0,0.0,0.0,0,0,0,0,23.0,0.0,18.0,5,Miami Grand Prix
bottas,7.0,0.0,0.0,0.0,0,5,0,5,2.0,0.0,2.0,0,Miami Grand Prix
colapinto,18.0,0.0,0.0,0.0,0,5,0,5,13.0,6.0,2.0,5,Miami Grand Prix
gasly,8.0,8.0,1.0,2.0,5,0,0,0,0.0,0.0,0.0,0,Miami Grand Prix
hadjar,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,Miami Grand Prix
hamilton,15.0,2.0,2.0,0.0,0,0,0,0,13.0,8.0,0.0,5,Miami Grand Prix
hulkenberg,10.0,5.0,0.0,0.0,5,5,0,5,0.0,0.0,0.0,0,Miami Grand Prix
lawson,11.0,6.0,0.0,1.0,5,5,0,5,0.0,0.0,0.0,0,Miami Grand Prix
leclerc,21.0,12.0,6.0,1.0,5,5,0,5,4.0,4.0,0.0,0,Miami Grand Prix
max_verstappen,29.0,9.0,4.0,0.0,5,5,0,5,15.0,10.0,0.0,5,Miami Grand Prix
norris,45.0,13.0,8.0,0.0,5,5,0,5,27.0,18.0,4.0,5,Miami Grand Prix
ocon,12.0,10.0,0.0,5.0,5,0,0,0,2.0,0.0,2.0,0,Miami Grand Prix
perez,19.0,6.0,0.0,1.0,5,0,0,0,13.0,0.0,8.0,5,Miami Grand Prix
piastri,31.0,8.0,7.0,1.0,0,0,0,0,23.0,15.0,8.0,0,Miami Grand Prix
russell,26.0,12.0,5.0,2.0,5,0,0,0,14.0,12.0,2.0,0,Miami Grand Prix
sainz,26.0,6.0,0.0,1.0,5,5,0,5,15.0,2.0,8.0,5,Miami Grand Prix
stroll,6.0,4.0,0.0,4.0,0,0,0,0,2.0,0.0,2.0,0,Miami Grand Prix
