DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,12.0,5.0,0.0,5,7.0,0.0,2.0,5,Spanish Grand Prix
alonso,10.0,5.0,0.0,5,5.0,0.0,0.0,5,Spanish Grand Prix
antonelli,37.0,5.0,0.0,5,32.0,25.0,2.0,5,Spanish Grand Prix
arvid_lindblad,14.0,5.0,0.0,5,9.0,2.0,2.0,5,Spanish Grand Prix
bearman,12.0,0.0,0.0,0,12.0,0.0,12.0,0,Spanish Grand Prix
bortoleto,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Spanish Grand Prix
bottas,7.0,0.0,0.0,0,7.0,0.0,2.0,5,Spanish Grand Prix
colapinto,20.0,5.0,0.0,5,15.0,6.0,4.0,5,Spanish Grand Prix
gasly,4.0,0.0,0.0,0,4.0,0.0,4.0,0,Spanish Grand Prix
hamilton,5.0,5.0,0.0,5,0.0,0.0,0.0,0,Spanish Grand Prix
hulkenberg,13.0,5.0,0.0,5,8.0,1.0,2.0,5,Spanish Grand Prix
lawson,12.0,0.0,0.0,0,12.0,8.0,4.0,0,Spanish Grand Prix
leclerc,19.0,0.0,0.0,0,19.0,12.0,2.0,5,Spanish Grand Prix
max_verstappen,30.0,5.0,0.0,5,25.0,18.0,2.0,5,Spanish Grand Prix
norris,35.0,15.0,10.0,5,20.0,15.0,0.0,5,Spanish Grand Prix
ocon,14.0,5.0,0.0,5,9.0,0.0,4.0,5,Spanish Grand Prix
perez,5.0,5.0,0.0,5,0.0,0.0,0.0,0,Spanish Grand Prix
piastri,4.0,0.0,0.0,0,4.0,4.0,0.0,0,Spanish Grand Prix
russell,12.0,0.0,0.0,0,12.0,10.0,2.0,0,Spanish Grand Prix
sainz,2.0,0.0,0.0,0,2.0,0.0,2.0,0,Spanish Grand Prix
stroll,0.0,0.0,0.0,0,0.0,0.0,0.0,0,Spanish Grand Prix
tsunoda,2.0,0.0,0.0,0,2.0,0.0,2.0,0,Spanish Grand Prix
