DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,14.0,5,0,5,9.0,2.0,2.0,5,Monaco Grand Prix
alonso,5.0,5,0,5,0.0,0.0,0.0,0,Monaco Grand Prix
antonelli,0.0,0,0,0,0.0,0.0,0.0,0,Monaco Grand Prix
bearman,16.0,0,0,0,16.0,0.0,16.0,0,Monaco Grand Prix
bortoleto,9.0,0,0,0,9.0,0.0,4.0,5,Monaco Grand Prix
colapinto,15.0,0,0,0,15.0,0.0,10.0,5,Monaco Grand Prix
gasly,5.0,5,0,5,0.0,0.0,0.0,0,Monaco Grand Prix
hadjar,18.0,5,0,5,13.0,8.0,0.0,5,Monaco Grand Prix
hamilton,14.0,0,0,0,14.0,10.0,4.0,0,Monaco Grand Prix
hulkenberg,5.0,5,0,5,0.0,0.0,0.0,0,Monaco Grand Prix
lawson,6.0,0,0,0,6.0,4.0,2.0,0,Monaco Grand Prix
leclerc,28.0,5,0,5,23.0,18.0,0.0,5,Monaco Grand Prix
max_verstappen,22.0,5,0,5,17.0,12.0,0.0,5,Monaco Grand Prix
norris,45.0,15,10,5,30.0,25.0,0.0,5,Monaco Grand Prix
ocon,18.0,5,0,5,13.0,6.0,2.0,5,Monaco Grand Prix
piastri,15.0,0,0,0,15.0,15.0,0.0,0,Monaco Grand Prix
russell,16.0,5,0,5,11.0,0.0,6.0,5,Monaco Grand Prix
sainz,3.0,0,0,0,3.0,1.0,2.0,0,Monaco Grand Prix
stroll,13.0,0,0,0,13.0,0.0,8.0,5,Monaco Grand Prix
tsunoda,0.0,0,0,0,0.0,0.0,0.0,0,Monaco Grand Prix
