EntityType,Name,NameKey,Price,ScrapedAtUtc
constructor,Red Bull,red_bull,19.5,2026-07-13T12:05:45.862592+00:00
constructor,Mercedes,mercedes,23.0,2026-07-13T12:05:45.862592+00:00
constructor,Ferrari,ferrari,21.5,2026-07-13T12:05:45.862592+00:00
constructor,Alpine,alpine,12.0,2026-07-13T12:05:45.862592+00:00
constructor,McLaren,mclaren,21.0,2026-07-13T12:05:45.862592+00:00
constructor,Aston Martin,aston_martin,5.5,2026-07-13T12:05:45.862592+00:00
constructor,Audi,audi,5.5,2026-07-13T12:05:45.862592+00:00
constructor,Racing Bulls,racing_bulls,11.5,2026-07-13T12:05:45.862592+00:00
constructor,Williams,williams,6.5,2026-07-13T12:05:45.862592+00:00
constructor,Haas,haas,7.5,2026-07-13T12:05:45.862592+00:00
constructor,Cadillac,cadillac,5.5,2026-07-13T12:05:45.862592+00:00
