EntityType,Name,NameKey,Price,ScrapedAtUtc
driver,Verstappen,verstappen,21.0,2026-08-03T12:22:29.147399+00:00
driver,Hadjar,hadjar,17.5,2026-08-03T12:22:29.147399+00:00
driver,Russell,russell,21.0,2026-08-03T12:22:29.147399+00:00
driver,Antonelli,antonelli,23.0,2026-08-03T12:22:29.147399+00:00
driver,Leclerc,leclerc,20.0,2026-08-03T12:22:29.147399+00:00
driver,Hamilton,hamilton,20.0,2026-08-03T12:22:29.147399+00:00
driver,Gasly,gasly,11.5,2026-08-03T12:22:29.147399+00:00
driver,Colapinto,colapinto,8.0,2026-08-03T12:22:29.147399+00:00
driver,Norris,norris,21.0,2026-08-03T12:22:29.147399+00:00
driver,Piastri,piastri,18.5,2026-08-03T12:22:29.147399+00:00
driver,Alonso,alonso,10.5,2026-08-03T12:22:29.147399+00:00
driver,Stroll,stroll,5.5,2026-08-03T12:22:29.147399+00:00
driver,Hulkenberg,hulkenberg,7.0,2026-08-03T12:22:29.147399+00:00
driver,Bortoleto,bortoleto,9.0,2026-08-03T12:22:29.147399+00:00
driver,Lawson,lawson,10.5,2026-08-03T12:22:29.147399+00:00
driver,Lindblad,lindblad,6.5,2026-08-03T12:22:29.147399+00:00
driver,Sainz,sainz,9.5,2026-08-03T12:22:29.147399+00:00
driver,Albon,albon,7.0,2026-08-03T12:22:29.147399+00:00
driver,Bearman,bearman,9.0,2026-08-03T12:22:29.147399+00:00
driver,Ocon,ocon,7.0,2026-08-03T12:22:29.147399+00:00
driver,Perez,perez,8.5,2026-08-03T12:22:29.147399+00:00
driver,Bottas,bottas,6.0,2026-08-03T12:22:29.147399+00:00
