EntityType,Name,NameKey,Price,ScrapedAtUtc
constructor,Alpine,alpine,8.0,2026-05-11T10:19:21.729223+00:00
constructor,Aston Martin,aston_martin,5.5,2026-05-11T10:19:21.729223+00:00
constructor,Audi,audi,5.0,2026-05-11T10:19:21.729223+00:00
constructor,Cadillac,cadillac,4.0,2026-05-11T10:19:21.729223+00:00
constructor,Ferrari,ferrari,19.0,2026-05-11T10:19:21.729223+00:00
constructor,Haas,haas,7.0,2026-05-11T10:19:21.729223+00:00
constructor,McLaren,mclaren,22.0,2026-05-11T10:19:21.729223+00:00
constructor,Mercedes,mercedes,23.0,2026-05-11T10:19:21.729223+00:00
constructor,Racing Bulls,racing_bulls,8.0,2026-05-11T10:19:21.729223+00:00
constructor,Red Bull,red_bull,18.0,2026-05-11T10:19:21.729223+00:00
constructor,Williams,williams,9.5,2026-05-11T10:19:21.729223+00:00
driver,Albon,albon,7.5,2026-05-11T10:19:21.727508+00:00
driver,Alonso,alonso,10.0,2026-05-11T10:19:21.727508+00:00
driver,Antonelli,antonelli,19.0,2026-05-11T10:19:21.727508+00:00
driver,Bearman,bearman,10.5,2026-05-11T10:19:21.727508+00:00
driver,Bortoleto,bortoleto,6.5,2026-05-11T10:19:21.727508+00:00
driver,Bottas,bottas,7.5,2026-05-11T10:19:21.727508+00:00
driver,Colapinto,colapinto,5.5,2026-05-11T10:19:21.727508+00:00
driver,Gasly,gasly,9.0,2026-05-11T10:19:21.727508+00:00
driver,Hadjar,hadjar,12.5,2026-05-11T10:19:21.727508+00:00
driver,Hamilton,hamilton,16.5,2026-05-11T10:19:21.727508+00:00
driver,Hulkenberg,hulkenberg,7.0,2026-05-11T10:19:21.727508+00:00
driver,Lawson,lawson,9.0,2026-05-11T10:19:21.727508+00:00
driver,Leclerc,leclerc,18.5,2026-05-11T10:19:21.727508+00:00
driver,Lindblad,lindblad,3.5,2026-05-11T10:19:21.727508+00:00
driver,Norris,norris,21.0,2026-05-11T10:19:21.727508+00:00
driver,Ocon,ocon,7.0,2026-05-11T10:19:21.727508+00:00
driver,Perez,perez,9.0,2026-05-11T10:19:21.727508+00:00
driver,Piastri,piastri,20.5,2026-05-11T10:19:21.727508+00:00
driver,Russell,russell,19.5,2026-05-11T10:19:21.727508+00:00
driver,Sainz,sainz,10.5,2026-05-11T10:19:21.727508+00:00
driver,Stroll,stroll,4.0,2026-05-11T10:19:21.727508+00:00
driver,Verstappen,verstappen,20.0,2026-05-11T10:19:21.727508+00:00
