EntityType,Name,NameKey,Price,ScrapedAtUtc
constructor,Alpine,alpine,10.5,2026-06-01T10:48:28.691886+00:00
constructor,Aston Martin,aston_martin,5.0,2026-06-01T10:48:28.691886+00:00
constructor,Audi,audi,5.0,2026-06-01T10:48:28.691886+00:00
constructor,Cadillac,cadillac,5.0,2026-06-01T10:48:28.691886+00:00
constructor,Ferrari,ferrari,20.0,2026-06-01T10:48:28.691886+00:00
constructor,Haas,haas,8.0,2026-06-01T10:48:28.691886+00:00
constructor,McLaren,mclaren,21.0,2026-06-01T10:48:28.691886+00:00
constructor,Mercedes,mercedes,23.5,2026-06-01T10:48:28.691886+00:00
constructor,Racing Bulls,racing_bulls,9.5,2026-06-01T10:48:28.691886+00:00
constructor,Red Bull,red_bull,19.0,2026-06-01T10:48:28.691886+00:00
constructor,Williams,williams,9.0,2026-06-01T10:48:28.691886+00:00
driver,Albon,albon,7.0,2026-06-01T10:48:28.690124+00:00
driver,Alonso,alonso,10.0,2026-06-01T10:48:28.690124+00:00
driver,Antonelli,antonelli,20.5,2026-06-01T10:48:28.690124+00:00
driver,Bearman,bearman,10.5,2026-06-01T10:48:28.690124+00:00
driver,Bortoleto,bortoleto,6.0,2026-06-01T10:48:28.690124+00:00
driver,Bottas,bottas,7.5,2026-06-01T10:48:28.690124+00:00
driver,Colapinto,colapinto,7.5,2026-06-01T10:48:28.690124+00:00
driver,Gasly,gasly,9.0,2026-06-01T10:48:28.690124+00:00
driver,Hadjar,hadjar,13.0,2026-06-01T10:48:28.690124+00:00
driver,Hamilton,hamilton,18.0,2026-06-01T10:48:28.690124+00:00
driver,Hulkenberg,hulkenberg,7.0,2026-06-01T10:48:28.690124+00:00
driver,Lawson,lawson,9.0,2026-06-01T10:48:28.690124+00:00
driver,Leclerc,leclerc,18.5,2026-06-01T10:48:28.690124+00:00
driver,Lindblad,lindblad,3.5,2026-06-01T10:48:28.690124+00:00
driver,Norris,norris,20.5,2026-06-01T10:48:28.690124+00:00
driver,Ocon,ocon,7.0,2026-06-01T10:48:28.690124+00:00
driver,Perez,perez,9.0,2026-06-01T10:48:28.690124+00:00
driver,Piastri,piastri,20.0,2026-06-01T10:48:28.690124+00:00
driver,Russell,russell,20.0,2026-06-01T10:48:28.690124+00:00
driver,Sainz,sainz,11.5,2026-06-01T10:48:28.690124+00:00
driver,Stroll,stroll,5.0,2026-06-01T10:48:28.690124+00:00
driver,Verstappen,verstappen,21.0,2026-06-01T10:48:28.690124+00:00
