TeamId,TotalConstructorPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,7.0,7.0,5.0,0.0,5.0,2,Monaco Grand Prix
aston_martin,6.0,6.0,4.0,0.0,4.0,2,Monaco Grand Prix
ferrari,35.0,35.0,30.0,28.0,2.0,5,Monaco Grand Prix
haas,20.0,20.0,15.0,6.0,9.0,5,Monaco Grand Prix
mclaren,45.0,45.0,40.0,40.0,0.0,5,Monaco Grand Prix
mercedes,8.0,8.0,3.0,0.0,3.0,5,Monaco Grand Prix
rb,18.0,18.0,13.0,12.0,1.0,5,Monaco Grand Prix
red_bull,17.0,17.0,12.0,12.0,0.0,5,Monaco Grand Prix
sauber,7.0,7.0,2.0,0.0,2.0,5,Monaco Grand Prix
williams,10.0,10.0,5.0,3.0,2.0,5,Monaco Grand Prix
