EntityType,Name,NameKey,Price,ScrapedAtUtc
constructor,Red Bull,red_bull,21.5,2026-09-21T15:42:48.362931+00:00
constructor,Mercedes,mercedes,23.0,2026-09-21T15:42:48.362931+00:00
constructor,Ferrari,ferrari,19.5,2026-09-21T15:42:48.362931+00:00
constructor,Alpine,alpine,13.0,2026-09-21T15:42:48.362931+00:00
constructor,McLaren,mclaren,22.0,2026-09-21T15:42:48.362931+00:00
constructor,Aston Martin,aston_martin,5.0,2026-09-21T15:42:48.362931+00:00
constructor,Audi,audi,6.0,2026-09-21T15:42:48.362931+00:00
constructor,Racing Bulls,racing_bulls,12.0,2026-09-21T15:42:48.362931+00:00
constructor,Williams,williams,6.0,2026-09-21T15:42:48.362931+00:00
constructor,Haas,haas,6.0,2026-09-21T15:42:48.362931+00:00
constructor,Cadillac,cadillac,4.5,2026-09-21T15:42:48.362931+00:00
