DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName,TotalSprintRacePoints,SprintPoints,PlacesGainedSprintPoints,TeammateSprintPoints
gasly,15.0,5.0,0,5.0,0.0,0.0,0.0,0.0,Chinese Grand Prix,10.0,0.0,5.0,5.0
hadjar,12.0,5.0,0,5.0,5.0,0.0,0.0,5.0,Chinese Grand Prix,2.0,0.0,2.0,0.0
hamilton,18.0,5.0,0,5.0,0.0,0.0,0.0,0.0,Chinese Grand Prix,13.0,8.0,0.0,5.0
hulkenberg,6.0,5.0,0,5.0,0.0,0.0,0.0,0.0,Chinese Grand Prix,1.0,0.0,1.0,0.0
lawson,21.0,0.0,0,0.0,16.0,0.0,16.0,0.0,Chinese Grand Prix,5.0,0.0,5.0,0.0
leclerc,9.0,0.0,0,0.0,5.0,0.0,0.0,5.0,Chinese Grand Prix,4.0,4.0,0.0,0.0
max_verstappen,33.0,5.0,0,5.0,17.0,12.0,0.0,5.0,Chinese Grand Prix,11.0,6.0,0.0,5.0
norris,21.0,0.0,0,0.0,20.0,18.0,2.0,0.0,Chinese Grand Prix,1.0,1.0,0.0,0.0
ocon,34.0,5.0,0,5.0,27.0,10.0,12.0,5.0,Chinese Grand Prix,2.0,0.0,2.0,0.0
piastri,58.0,15.0,10,5.0,30.0,25.0,0.0,5.0,Chinese Grand Prix,13.0,7.0,1.0,5.0
russell,36.0,5.0,0,5.0,20.0,15.0,0.0,5.0,Chinese Grand Prix,11.0,5.0,1.0,5.0
sainz,11.0,0.0,0,0.0,11.0,1.0,10.0,0.0,Chinese Grand Prix,0.0,0.0,0.0,0.0
stroll,23.0,0.0,0,0.0,17.0,2.0,10.0,5.0,Chinese Grand Prix,6.0,0.0,1.0,5.0
tsunoda,10.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Chinese Grand Prix,10.0,3.0,2.0,5.0
albon,12.0,5.0,0,5.0,7.0,2.0,0.0,5.0,Japanese Grand Prix,,,,
alonso,12.0,5.0,0,5.0,7.0,0.0,2.0,5.0,Japanese Grand Prix,,,,
antonelli,8.0,0.0,0,0.0,8.0,8.0,0.0,0.0,Japanese Grand Prix,,,,
bearman,11.0,5.0,0,5.0,6.0,1.0,0.0,5.0,Japanese Grand Prix,,,,
bortoleto,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Japanese Grand Prix,,,,
doohan,8.0,0.0,0,0.0,8.0,0.0,8.0,0.0,Japanese Grand Prix,,,,
gasly,10.0,5.0,0,5.0,5.0,0.0,0.0,5.0,Japanese Grand Prix,,,,
hadjar,14.0,5.0,0,5.0,9.0,4.0,0.0,5.0,Japanese Grand Prix,,,,
hamilton,8.0,0.0,0,0.0,8.0,6.0,2.0,0.0,Japanese Grand Prix,,,,
hulkenberg,10.0,5.0,0,5.0,5.0,0.0,0.0,5.0,Japanese Grand Prix,,,,
lawson,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Japanese Grand Prix,,,,
leclerc,22.0,5.0,0,5.0,17.0,12.0,0.0,5.0,Japanese Grand Prix,,,,
max_verstappen,45.0,15.0,10,5.0,30.0,25.0,0.0,5.0,Japanese Grand Prix,,,,
norris,28.0,5.0,0,5.0,23.0,18.0,0.0,5.0,Japanese Grand Prix,,,,
ocon,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Japanese Grand Prix,,,,
piastri,15.0,0.0,0,0.0,15.0,15.0,0.0,0.0,Japanese Grand Prix,,,,
russell,20.0,5.0,0,5.0,15.0,10.0,0.0,5.0,Japanese Grand Prix,,,,
sainz,2.0,0.0,0,0.0,2.0,0.0,2.0,0.0,Japanese Grand Prix,,,,
stroll,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Japanese Grand Prix,,,,
tsunoda,4.0,0.0,0,0.0,4.0,0.0,4.0,0.0,Japanese Grand Prix,,,,
albon,11.0,0.0,0,0.0,11.0,0.0,6.0,5.0,Bahrain Grand Prix,,,,
alonso,10.0,5.0,0,5.0,5.0,0.0,0.0,5.0,Bahrain Grand Prix,,,,
antonelli,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Bahrain Grand Prix,,,,
bearman,21.0,0.0,0,0.0,21.0,1.0,20.0,0.0,Bahrain Grand Prix,,,,
bortoleto,5.0,0.0,0,0.0,5.0,0.0,0.0,5.0,Bahrain Grand Prix,,,,
doohan,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,Bahrain Grand Prix,,,,
gasly,16.0,5.0,0,5.0,11.0,6.0,0.0,5.0,Bahrain Grand Prix,,,,
hadjar,10.0,5.0,0,5.0,5.0,0.0,0.0,5.0,Bahrain Grand Prix,,,,
hamilton,18.0,0.0,0,0.0,18.0,10.0,8.0,0.0,Bahrain Grand Prix,,,,
hulkenberg,5.0,5.0,0,5.0,0.0,0.0,0.0,0.0,Bahrain Grand Prix,,,,
lawson,2.0,0.0,0,0.0,2.0,0.0,2.0,0.0,Bahrain Grand Prix,,,,
leclerc,22.0,5.0,0,5.0,17.0,12.0,0.0,5.0,Bahrain Grand Prix,,,,
max_verstappen,20.0,5.0,0,5.0,15.0,8.0,2.0,5.0,Bahrain Grand Prix,,,,
norris,21.0,0.0,0,0.0,21.0,15.0,6.0,0.0,Bahrain Grand Prix,,,,
ocon,26.0,5.0,0,5.0,21.0,4.0,12.0,5.0,Bahrain Grand Prix,,,,
piastri,45.0,15.0,10,5.0,30.0,25.0,0.0,5.0,Bahrain Grand Prix,,,,
russell,30.0,5.0,0,5.0,25.0,18.0,2.0,5.0,Bahrain Grand Prix,,,,
