TeamId,TotalConstructorPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,13.0,13.0,8.0,8.0,0.0,5,Italian Grand Prix
aston_martin,0.0,0.0,0.0,0.0,0.0,0,Italian Grand Prix
audi,5.0,5.0,0.0,0.0,0.0,5,Italian Grand Prix
cadillac,5.0,5.0,0.0,0.0,0.0,5,Italian Grand Prix
ferrari,10.0,10.0,8.0,8.0,0.0,2,Italian Grand Prix
haas,5.0,5.0,0.0,0.0,0.0,5,Italian Grand Prix
mclaren,32.0,32.0,27.0,22.0,5.0,5,Italian Grand Prix
mercedes,66.0,66.0,61.0,43.0,18.0,5,Italian Grand Prix
rb,16.0,16.0,11.0,5.0,6.0,5,Italian Grand Prix
red_bull,30.0,30.0,25.0,15.0,10.0,5,Italian Grand Prix
williams,8.0,8.0,3.0,0.0,3.0,5,Italian Grand Prix
