EntityType,Name,NameKey,Price,ScrapedAtUtc
constructor,Red Bull,red_bull,17.0,2026-04-13T09:40:52.522141+00:00
constructor,Mercedes,mercedes,22.5,2026-04-13T09:40:52.522141+00:00
constructor,Ferrari,ferrari,18.5,2026-04-13T09:40:52.522141+00:00
constructor,Alpine,alpine,7.0,2026-04-13T09:40:52.522141+00:00
constructor,McLaren,mclaren,21.0,2026-04-13T09:40:52.522141+00:00
constructor,Aston Martin,aston_martin,5.5,2026-04-13T09:40:52.522141+00:00
constructor,Audi,audi,5.0,2026-04-13T09:40:52.522141+00:00
constructor,Racing Bulls,racing_bulls,8.0,2026-04-13T09:40:52.522141+00:00
constructor,Williams,williams,9.0,2026-04-13T09:40:52.522141+00:00
constructor,Haas,haas,7.5,2026-04-13T09:40:52.522141+00:00
constructor,Cadillac,cadillac,4.0,2026-04-13T09:40:52.522141+00:00
