EntityType,Name,NameKey,Price,ScrapedAtUtc
constructor,Red Bull,red_bull,18.0,2026-05-11T10:19:21.729223+00:00
constructor,Mercedes,mercedes,23.0,2026-05-11T10:19:21.729223+00:00
constructor,Ferrari,ferrari,19.0,2026-05-11T10:19:21.729223+00:00
constructor,Alpine,alpine,8.0,2026-05-11T10:19:21.729223+00:00
constructor,McLaren,mclaren,22.0,2026-05-11T10:19:21.729223+00:00
constructor,Aston Martin,aston_martin,5.5,2026-05-11T10:19:21.729223+00:00
constructor,Audi,audi,5.0,2026-05-11T10:19:21.729223+00:00
constructor,Racing Bulls,racing_bulls,8.0,2026-05-11T10:19:21.729223+00:00
constructor,Williams,williams,9.5,2026-05-11T10:19:21.729223+00:00
constructor,Haas,haas,7.0,2026-05-11T10:19:21.729223+00:00
constructor,Cadillac,cadillac,4.0,2026-05-11T10:19:21.729223+00:00
