DriverId,TotalDriverPoints,TotalRaceQualifyingPoints,PolePoints,TeammateQualiPoints,TotalRacePoints,RacePoints,PlacesGainedRacePoints,TeammateRacePoints,EventName
albon,6.0,0,0,0,6.0,0.0,6.0,0,Italian Grand Prix
alonso,0.0,0,0,0,0.0,0.0,0.0,0,Italian Grand Prix
antonelli,66.0,0,0,0,66.0,25.0,36.0,5,Italian Grand Prix
arvid_lindblad,16.0,5,0,5,11.0,4.0,2.0,5,Italian Grand Prix
bearman,10.0,5,0,5,5.0,0.0,0.0,5,Italian Grand Prix
bortoleto,10.0,5,0,5,5.0,0.0,0.0,5,Italian Grand Prix
bottas,5.0,5,0,5,0.0,0.0,0.0,0,Italian Grand Prix
colapinto,2.0,0,0,0,2.0,2.0,0.0,0,Italian Grand Prix
gasly,26.0,15,10,5,11.0,6.0,0.0,5,Italian Grand Prix
hamilton,13.0,0,0,0,13.0,8.0,0.0,5,Italian Grand Prix
hulkenberg,0.0,0,0,0,0.0,0.0,0.0,0,Italian Grand Prix
lawson,16.0,0,0,0,16.0,0.0,16.0,0,Italian Grand Prix
leclerc,5.0,5,0,5,0.0,0.0,0.0,0,Italian Grand Prix
max_verstappen,29.0,5,0,5,24.0,15.0,4.0,5,Italian Grand Prix
norris,25.0,0,0,0,25.0,12.0,8.0,5,Italian Grand Prix
ocon,0.0,0,0,0,0.0,0.0,0.0,0,Italian Grand Prix
perez,5.0,0,0,0,5.0,0.0,0.0,5,Italian Grand Prix
piastri,17.0,5,0,5,12.0,10.0,2.0,0,Italian Grand Prix
russell,23.0,5,0,5,18.0,18.0,0.0,0,Italian Grand Prix
sainz,10.0,5,0,5,5.0,0.0,0.0,5,Italian Grand Prix
stroll,10.0,5,0,5,5.0,0.0,0.0,5,Italian Grand Prix
tsunoda,11.0,0,0,0,11.0,1.0,10.0,0,Italian Grand Prix
