TeamId,TotalConstructorPoints,TotalConstructorRacePoints,ConstructorRacePoints,TotalRacePoints,PlacesGainedRacePoints,ConstructorRaceFinishingPoints,EventName
alpine,5.0,5.0,0.0,0.0,0.0,5,Austrian Grand Prix
aston_martin,17.0,17.0,12.0,6.0,6.0,5,Austrian Grand Prix
ferrari,32.0,32.0,27.0,27.0,0.0,5,Austrian Grand Prix
haas,17.0,17.0,12.0,1.0,11.0,5,Austrian Grand Prix
mclaren,49.0,49.0,44.0,43.0,1.0,5,Austrian Grand Prix
mercedes,12.0,12.0,10.0,10.0,0.0,2,Austrian Grand Prix
rb,14.0,14.0,9.0,8.0,1.0,5,Austrian Grand Prix
red_bull,4.0,4.0,2.0,0.0,2.0,2,Austrian Grand Prix
sauber,22.0,22.0,17.0,6.0,11.0,5,Austrian Grand Prix
williams,2.0,2.0,0.0,0.0,0.0,2,Austrian Grand Prix
